4,4,3.7500,40.0000,30.4375,40.0000,0.0004,100.0000,100.0000,1.3333,0.504395,0.504395
12,12,3.7500,40.0000,91.3125,40.0000,0.0004,100.0000,100.0000,0.1463,1.035547,1.035547
12,12,3.7500,40.0000,45.6562,40.0000,0.0004,100.0000,100.0000,0.4615,1.035808,1.035808
12,12,3.7500,40.0000,182.6250,40.0000,0.0004,100.0000,100.0000,0.0667,0.536342,0.536342
12,12,3.7500,40.0000,91.3125,40.0000,0.0004,100.0000,100.0000,0.1463,2.033230,2.033230
12,12,3.7500,40.0000,91.3125,40.0000,0.0004,100.0000,100.0000,0.1463,1.857871,1.857871
0,12,-nan,-nan,0.0000,-nan,-nan,0.0000,0.0000,1.0909,-nan,0.000000
0,12,-nan,-nan,0.0000,-nan,-nan,0.0000,0.0000,1.0909,-nan,0.000000
0,12,-nan,-nan,0.0000,-nan,-nan,0.0000,0.0000,1.0909,-nan,0.000000
1,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3333,1.0909,0.000000,0.000000
