Job,Processors,Execution Time,Deadline,Release Time,Scheduler Overhead (microSec),Scheduled At,Rescheduled to,Completion Time,Scheduled Hardware
0,6,6,20,1,137.08,1,-1,7,1
1,8,8,22,3,158.23,3,-1,11,1
2,10,10,35,5,209.91,25,-1,35,1
3,4,4,18,6,489.88,7,-1,11,1
4,6,6,35,6,498.33,11,-1,17,1
5,8,8,32,7,584.97,11,-1,19,1
6,4,4,34,9,185.16,17,-1,21,1
7,6,6,45,11,181.91,19,-1,25,1
8,6,6,45,14,247.14,19,-1,25,1
9,8,8,54,15,177.84,35,-1,43,1
10,10,10,65,17,215.93,55,-1,65,1
11,4,4,38,17,173.92,21,-1,25,1
12,6,6,71,18,323.46,25,-1,31,1
13,8,8,73,21,176.20,43,-1,51,1
14,4,4,64,25,222.79,31,-1,35,1
15,6,6,85,26,250.28,35,-1,41,1
